track_id,track_name,track_genre,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre_num,Cluster_Labels
301,River - 301,blues,74.0,65.12820512820514,18.44959131509212,72.83710793139392,4.9350649350649345,66.76672459564594,0.0,13.449691991786446,17.806841046277665,52.76860115378926,0.0,37
3145,Estertor - 3145,electronic,46.0,43.58974358974359,69.40605824243923,82.51681986165072,3.4848484848484844,43.67411630863251,1.2627291242362524,35.01026694045174,49.69818913480886,63.92764985290008,33.33333333333333,39
3574,Assassin - 3574,electronic,50.0,65.33333333333334,68.90451821362677,77.94229129157586,4.437229437229437,5.892601098184048,71.69042769857433,7.874743326488707,8.832997987927566,49.305178903078414,33.33333333333333,43
8010,Normal - 8010,reggae,0.0,72.71794871794872,56.16540148178999,86.85681796645503,18.506493506493506,3.41265577344826,0.0,30.80082135523614,54.42655935613683,69.88560721857895,88.88888888888889,14
6014,Brown Munde - 6014,pop,76.0,87.58974358974359,61.281109775677194,83.55680849047664,9.35064935064935,22.388755626689715,0.0,10.677618069815194,41.95171026156942,41.09922258928718,66.66666666666666,20
9627,Santa Claus Is Coming To Town - 9627,rock,0.0,77.84615384615385,45.2318288536781,76.74358002463754,5.097402597402597,61.344981780434075,0.0,25.462012320328544,68.30985915492958,46.06076294725769,100.0,18
6957,Baaraat - 6957,pop,66.0,69.53846153846155,45.03121284215312,76.16791433715531,9.404761904761905,47.89102738713061,0.0,53.49075975359344,60.96579476861167,41.10292063179001,66.66666666666666,17
2919,Mr. Tambourine Man - 2919,country,64.0,40.0,31.088400041166405,63.92968824031081,7.316017316017315,79.71866576531868,0.0,37.371663244353186,58.75251509054326,72.93977943230938,22.22222222222222,37
4925,Solid - 4925,hip-hop,0.0,56.82051282051283,51.049693187902776,76.0494646072207,36.688311688311686,14.958959916954965,0.0018940936863543788,8.11088295687885,72.23340040241449,82.12694969018621,44.44444444444444,14
409,Somebody to Love - 409,blues,70.0,51.69230769230769,57.970945585514876,76.35032692125462,3.3549783549783547,40.963244901026584,0.0,31.416837782340863,65.79476861167002,54.40683398254524,0.0,35
